front,back,hint,publishedAt
"zwingen","to force","und euch zu nix zwingen lässt.","2022-03-04T15:09:28.277Z"
"ausblendet","fades out","Und die anderen\nso komplett ausblendet.","2022-03-04T14:41:23.294Z"
"entsprechend / dementsprechend","accordingly / accordingly","Dementsprechend hat er\nhalt viele Sachen versäumt,","2022-03-04T14:29:35.876Z"
"Entweder","Either","Entweder, es gibt Menschen,\ndie mit mir den Weg gehen,","2022-03-04T15:04:30.974Z"
"überzeugen/überzeugend","to convince / convincing","versuchen so sympathisch zu sein\nund ihn von dir zu überzeugen,","2022-03-04T14:39:43.300Z"
"anschließend","subsequently","","2021-04-29T12:15:34.058Z"
"Neuling","Newcomer","Ja, und ich als Neuling in der Szene\noder mit noch weniger Erfahrung","2022-03-04T15:02:13.384Z"
"Staatsbürgerschaft","Citizenship","Staatsbürgerschaft bekommen möchten oder Teilnehmer der offiziellen Integrationskurse","2022-03-04T06:09:18.027Z"
"Steinkohle","Hard coal","Generell ist die gesamte Region reich\nan Steinkohle und Eisenerzvorkommen.","2022-03-04T06:29:49.793Z"
"verabreded / eingerichtet","arranged / set up","","2021-01-20T14:05:51.253Z"
"Auseinandersetzung / streit","Dispute / dispute","die Hintergründe der aktuellen\nAuseinandersetzung zu verstehen.","2022-03-04T06:21:28.641Z"
"Kulturwandel","Culture change","Das ist ein riesiger Kulturwandel.","2022-03-03T14:16:53.099Z"
"verbunden","connected","","2021-02-12T07:08:03.661Z"
"der Organisator / der veranstalter","the organiser / the promoter","Sind Sie\ndie Veranstalterin des Flohmarkts?","2022-03-03T07:08:55.460Z"
"Zivilcourage","Moral courage","Er hat Zivilcourage bewiesen!","2022-03-03T07:18:49.176Z"
"Entwurf","design","– Es geht um den Entwurf für\neine neue Brücke.","2022-03-03T06:52:42.007Z"
"Lärmbelästigung","Noise pollution","dann ist das nicht nur Lärmbelästigung.","2022-03-03T07:01:04.441Z"
"Beziehungskrise","Relationship crisis","– Steckt ihr in einer Beziehungskrise?","2022-03-03T06:33:33.053Z"
"Neuigkeiten","news","Es gibt Neuigkeiten!","2022-03-03T05:48:21.176Z"
"Zusammenbruch","collapse","Mein Vater hatte einen\nZusammenbruch.","2022-03-02T10:18:59.282Z"
"das Verhalten","Behaviour","Dein Verhalten werde ich nicht tolerieren.","2021-02-10T10:54:34.585Z"
"ebenso","as well / as much as","","2021-06-22T06:40:44.184Z"
"Aufnahmeleiter / Abteilungsleiter","Unit manager","Beleuchter, Schauspieler, Aufnahmeleiter,\nTon, sogar der Regisseur.","2022-03-02T21:43:59.753Z"
"die Öffentlichkeitsarbeit","public relations","","2021-06-04T16:52:55.664Z"
"klassifizieren / einzuordnen / unterteillt","classify","","2021-04-29T15:26:00.469Z"
"Keine Widerrede!","Don't argue!","","2022-03-02T11:54:58.327Z"
"Kreislauf","Cycle","Das ist ein Kreislauf.","2022-03-03T07:05:32.206Z"
"das Vorsprechen","the audition","","2021-06-13T22:09:44.617Z"
"teamfähig","team player","– Sind Sie teamfähig?","2022-03-02T12:55:05.908Z"
"die Unterlagen","the documents","Du kannst mir die Unterlagen\nfür das Meeting im Hotel hinterlegen.","2022-03-02T09:45:42.064Z"
"die Koerperpflege / Körperhygiene","the personal hygiene","","2021-05-06T07:18:02.641Z"
"Rheintal","Rhine valley","eine Zugfahrt durch das Rheintal\nnach Bingen am Rhein,","2022-03-02T10:57:19.343Z"
"wesentlich / grundlegend / grundsätzlich","essential / fundamental","","2021-07-08T13:51:53.646Z"
"Stapel","stack","","2021-06-16T17:35:13.861Z"
"entsteht","arises","","2021-02-04T12:54:54.368Z"
"Hasenbraten","roasted rabbit","– Es gab keinen Hasenbraten?","2022-03-02T21:37:39.941Z"
"verabredet","arranged to meet","– Ich bin mit Dario verabredet.","2022-03-02T11:57:28.713Z"
"das Niveau","level","","2021-07-01T22:32:21.705Z"
"der Hautausschlag","the rash","Woraus hast du so einen Hautausschlag?","2021-06-10T23:22:12.998Z"
"Zusage","Commitment","noch heute eine Zusage geben.","2022-03-02T21:41:13.138Z"
"Abholzung / Entwaldung","Deforestation / Deforestation","","2021-05-05T08:20:37.856Z"
"stinksauer","pissed off","stinksauer .","2022-03-02T10:01:42.491Z"
"Sichtweite","Visibility","","2021-05-03T09:39:42.190Z"
"Osterhasen","Easter bunny","Da war ich noch sehr klein\nund dachte, dass wir den Osterhasen essen.","2022-03-02T21:37:51.725Z"
"Aufnahmeprüfung","Entrance exam","Aber da gibt es eine sehr\nschwere Aufnahmeprüfung.","2022-03-02T22:02:19.325Z"
"Leuchten","to shine","","2021-06-12T22:21:30.789Z"
"Reihenfolgen","sequences / Orders","","2021-06-16T17:34:48.065Z"
"beliebig/irgendein/ jeder","any / any","","2021-02-10T13:39:11.148Z"
"die Sportausrüstung","the sports equipment","","2021-06-14T15:16:27.286Z"
"Zertrümmen","Smash","","2021-05-27T08:04:50.911Z"
"ergeben","surrender / yield / result in","","2021-06-22T06:40:13.287Z"
"erstaunliche","amazing","Ich finde, dass Selma\nerstaunliche Fortschritte macht.","2022-03-02T22:04:29.083Z"
"ich schaffe das nicht","I can't do it","– Du denkst, ich schaffe das nicht.","2022-03-02T09:59:27.266Z"
"üblich","common","Aber es ist nicht sehr üblich.","2022-03-02T12:47:29.725Z"
"erfolglos","unsuccessful","","2021-07-08T13:49:12.241Z"
"die Nachlässigkeit","the negligence","","2021-06-05T08:09:00.688Z"
"erreichen / gelangen","to reach","","2021-06-22T06:44:01.210Z"
"Eislaufen","Ice skating","– Eislaufen?","2022-03-02T21:32:45.853Z"
"Wimpernschlag","Blink of an eye","Mit nur einem Wimpernschlag","2022-03-02T09:46:52.775Z"
"überreagieren","overreact","Ich habe vorhin\nein bisschen überreagiert.","2022-03-02T10:28:36.014Z"
"Stressfaktoren","Stressors","Das ist … sind Stressfaktoren,\nüberall Stressfaktoren …","2022-03-03T05:53:40.638Z"
"Durchreise","Transit","– Nein, ich bin nur auf der Durchreise.","2022-03-02T11:47:04.726Z"
"zweisprachig","bilingual","– Meine Mutter ist zweisprachig\naufgewachsen.","2022-03-02T22:03:10.879Z"
"zurückholen","bring back / retrieve","Papa hat mir gesagt,\ndass ich dich zurückholen soll.","2022-03-02T10:34:13.822Z"
"beziehungsweise","respectively","","2021-06-02T09:17:28.358Z"
"der Anreiz","the incentive","","2021-06-21T05:40:54.835Z"
"Lieblingsbeschäftigung","favorite hobby","","2021-05-05T12:22:00.780Z"
"preiswerte","inexpensive","Bis dahin musst du deinen Freundinnen eben\npreiswerte Geschenke kaufen.","2022-03-02T21:34:12.887Z"
"Verfolgungsjagd","chase","– Es war das Ende einer Verfolgungsjagd.","2022-03-02T21:45:10.915Z"
"Stirn","forehead","Du zitterst mit der Stirn","2021-06-16T17:27:31.872Z"
"die bewerbung","the application","","2021-02-18T08:19:37.760Z"
"die Geisel","Hostage","","2021-02-14T09:28:24.591Z"
"der Ablagekorb","the storage basket / filing tray","","2021-07-08T13:47:12.106Z"
"die Schnittstelle","interface","","2021-06-06T19:53:49.223Z"
"Schluss machen/ beenden","Make an end / breakup","","2021-02-23T13:38:00.445Z"
"hochklettern","climb up","","2021-02-04T06:11:47.550Z"
"Anschließend","Subsequently","","2021-04-29T01:45:42.256Z"
"zufälig/plötzlig","randomly /suddenly","","2021-01-20T14:00:56.602Z"
"hinzufügen","Add","","2021-02-27T10:15:40.748Z"
"der Notizblock","the notepad","","2021-07-08T13:45:51.600Z"
"die stellung","position","","2021-01-27T06:19:39.457Z"
"der Umschlag","the envelope","","2021-06-24T07:15:15.876Z"
"stieß / Stoßen","bumped/ pushed / bump /push","","2021-01-27T15:30:04.941Z"
"verwöhnen / verdorben","spoil","","2021-01-28T14:42:23.531Z"
"angespannt","tense","","2021-02-01T09:53:06.592Z"
"die Belästigung","harassment","","2021-01-29T07:08:12.068Z"
"wachsen","grow","","2021-03-11T09:53:14.087Z"
"angenommen / akzeptiert","accepted","","2021-01-20T14:46:56.306Z"
"liegestütze / hochdrucken","pushup","","2021-02-18T07:56:51.567Z"
"treu","loyal/faithful","","2021-02-02T09:27:16.929Z"
"der Spalt / die Lücke","Gap","","2021-02-01T10:20:21.296Z"
"arbeitnehmerfreundlich","employee-friendly","","2021-06-21T05:39:54.965Z"
"das sprichwort","proverb","","2021-02-13T18:24:07.955Z"
"die Spinne","the spider","","2021-06-14T22:31:23.719Z"
"gegenseitig","mutual/eachother","","2021-01-30T07:23:56.787Z"
"der Berater","the consultant","","2021-06-04T16:54:41.803Z"
"meckern / jemmern","complain/beaching/moan","","2021-02-13T18:24:46.691Z"
"sichern","to back up","","2021-06-06T19:54:16.899Z"
"tragbar","portable","","2021-06-06T19:55:29.914Z"
"das zögern","hesitate / hesitation","","2021-04-29T14:08:31.475Z"
"einrichten / installieren","set up","","2021-04-29T12:07:36.088Z"
"der bescheid / die entscheidung / der beschluass","decision","","2021-02-04T14:15:23.657Z"
"die Hingabe / die widmung","dedication","","2021-04-29T07:18:08.176Z"
"geschaftslichverreisen / Geschäftsreise","business trips","","2021-02-07T14:00:29.747Z"
"vorfreude","anticipation","","2021-02-12T07:11:24.451Z"
"überwinden","overcome","","2021-05-03T08:39:33.325Z"
"Springen / Hupfen","Jump","","2021-04-30T09:22:28.585Z"
"Ermittler","Investigator","","2021-07-01T22:45:47.854Z"
"die Gesellschaft","society","","2021-06-22T08:06:02.612Z"
"beinahe/fast/nahezu","almost / almost / almost too","","2021-03-05T11:13:07.613Z"
"erkunden / erforschen","explore / explore","","2021-02-12T07:40:46.661Z"
"die Absicht","the intent","Deine Absicht ist klar.","2021-02-10T10:51:50.039Z"
"die Höhle","the cave","","2021-06-12T05:43:13.827Z"
"das Kündigungsschreiben","the letter of resignation","","2021-06-21T05:42:28.786Z"
"die Fälschung","the fake","","2021-06-04T16:57:31.168Z"
"einfrieren","freeze","","2021-04-08T06:13:52.517Z"
"schulden","loans /debts","","2021-02-18T07:14:55.411Z"
"Das Hafenbecken","Harbor basin","","2021-03-01T09:05:48.361Z"
"derzeitigen / aktuell","current","","2021-01-19T12:40:42.223Z"
"die Ferse","the heel","Eine Ferse findet man am hinteren Ende des Fußes.","2021-06-10T23:19:31.226Z"
"überwältigendes / überwältigend","overwhelming","","2021-04-29T08:29:10.747Z"
"Vorstand / Tafel","Board / board","","2021-04-28T22:54:23.400Z"
"Krummer","Crooked","","2021-05-03T12:54:10.970Z"
"der Aufbau","the structure","","2021-02-12T07:38:09.469Z"
"Haftbefehl","arrest warrant","","2021-07-01T22:46:21.025Z"
"der Staatsanwalt","The prosecutor","","2021-06-05T08:07:22.036Z"
"unheimlich","creepy/weird","Er erzählt eine unheimliche Geschichte.","2021-06-13T22:09:38.806Z"
"Der Streit","The dispute","","2021-06-10T06:03:41.990Z"
"zunächst","at first/ for now","","2021-06-22T06:48:34.037Z"
"pflegen","maintain","","2021-05-05T07:09:01.750Z"
"widerlich","disgusting","","2021-02-06T15:32:38.739Z"
"Sehnsucht","desire / nostalgia","","2021-05-03T12:08:46.718Z"
"der Scheck","check","","2021-05-27T08:07:50.496Z"
"fachgebereit","expertise/specialist","","2021-01-26T20:05:33.448Z"
"die Wohlfahrt","the welfare","","2021-06-04T16:56:37.337Z"
"das Zivilrecht","the civil law","","2021-06-04T16:57:14.152Z"
"anbauen","plant","","2021-06-17T12:11:30.307Z"
"schälen","peel","","2021-05-20T06:22:51.493Z"
"Der Umstand","The circumstances","","2021-06-21T05:59:24.226Z"
"die Schreibtischlampe","the desk lamp","","2021-07-08T13:46:38.372Z"
"Sprachnachricht","Voice message","","2021-06-08T06:51:39.965Z"
"Rechtsanwaltsgehilfin / Rechtsassistentin","Paralegal","","2021-05-05T12:20:47.494Z"
"die Ermittlungen","Investigations","","2021-07-01T22:43:02.733Z"
"genesen","recover","","2021-07-01T22:33:47.240Z"
"die Bekanntschaft","Acquaintance","","2021-06-10T23:17:22.564Z"
"absichtlich","intentionally","","2021-04-29T08:23:40.340Z"
"Sparsam","A person who spares money","","2022-04-20T09:57:41.942Z"
"die Angabe","the information","-n\n\nWir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.","2022-03-20T14:38:48.666Z"
"Duzen","Use first names (Du instead of Sie)","","2022-04-20T10:00:15.720Z"
"Die Überstunde","The overtime","","2022-04-20T09:58:43.376Z"
"angeben","to declare","gibt an, gab an, hat angegeben\n\nBitte geben Sie Ihre genaue Adresse an.","2022-03-20T14:38:40.722Z"
"lassen, ließ, gelassen","to let","","2022-03-13T10:58:25.118Z"
"außerhalb / Außen","Outside / Exterior","Wir wohnen außerhalb von Berlin","2022-03-20T14:46:05.456Z"
"Der Gatte / Der Ehemann","The husband","","2022-04-20T10:02:35.424Z"
"Bewerbungsunterlagen","Application documents","","2022-04-20T09:58:16.985Z"
"Kritisch","Critical","","2022-04-20T09:57:56.294Z"
"außer","except","1. Außer Lisa hat sich niemand um die Stelle beworben.\n2. Der Aufzug ist außer Betrieb.\n3. Wir haben täglich außer Samstag geöffnet.","2022-03-20T14:46:12.818Z"
"Übermäßige / Ueberflussig","Excessive / Excessive","","2022-04-14T06:41:26.404Z"
"Wange","cheek","","2021-04-29T08:24:36.575Z"
"Vorlesung / unterricht","Lecture / lesson","","2021-02-07T13:53:50.729Z"
"verwechselt / verwirren / unubersichtlich","confused / confuse / unclear / confusing","","2021-01-21T07:21:13.218Z"
"schwinden, schwand, geschwunden","to fade, disappear","","2022-03-13T11:01:43.255Z"
"anfangs","initially","Anfangs ging alles gut.","2022-03-20T14:38:33.834Z"
"Oftmals","Often","","2022-04-13T12:48:11.917Z"
"beschleunigen","accelarate","","2022-03-18T16:44:45.584Z"
"gesetzeswidrig","unlawful","","2022-04-13T12:53:04.798Z"
"Einklang","Harmony","","2022-04-12T20:24:09.975Z"
"grundlegend","basic / fundamental","","2022-03-20T14:24:17.464Z"
"abschreiben","to copy","schreibt ab, schrieb ab, hat abgeschrieben\nEr hat die Hausaufgaben von mir abgeschrieben.","2022-03-20T14:35:20.995Z"
"Erkennbar / bemerkbar","Recognisable / noticeable","","2022-04-14T06:48:12.115Z"
"der Abfall","the trash","-en\nWerfen Sie den Bioabfall bitte nicht zum normalen Müll","2022-03-20T14:34:54.160Z"
"leisten","afford","","2022-03-24T06:43:36.125Z"
"das Team","the team","-s","2022-03-20T14:34:19.314Z"
"der Terminkalender","diary","","2021-07-08T13:46:25.708Z"
"abmachen","to agree","Wir hatten doch abgemacht, dass du die Getränke besorgst.","2022-03-20T14:35:28.178Z"
"gesetzlos","lawless","","2021-06-05T09:31:38.818Z"
"Erwartungshaltung","Expectations","Ich will nicht sagen, dass man in so\neiner Erwartungshaltung ist, aber .","2022-03-10T11:29:01.607Z"
"verlieren, verlor, verloren","to lose","","2022-03-13T11:03:42.666Z"
"schlagen, schlug, geschlagen","to hit, strike","","2022-03-13T11:00:48.363Z"
"die Anzeige / reklame / werbung","the advertisement / advertising / publicity","-n\n\n1. Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer.\n2. Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.","2022-03-20T14:41:22.545Z"
"scheinen, schien, geschienen","to shine; to seem","","2022-03-13T11:00:18.286Z"
"unbeholfen","awkward","","2021-04-30T09:36:02.025Z"
"Deshalb","Therefore","","2021-01-16T15:38:38.416Z"
"einsam","lonely","","2022-03-20T14:25:08.585Z"
"Einführen/ vorstellung","Introduce","","2021-01-30T23:24:37.478Z"
"der Aktenordner","the file","","2021-07-08T13:47:45.652Z"
"jedoch","however / nonetheless","","2021-06-28T06:05:40.984Z"
"aufhalten","to hold up","hält auf, hielt auf, hat aufgehalten\n\n1. Wo hält er sich gerade auf? – In München.\n2. Darf ich Ihnen die Tür aufhalten?\n3. Entschuldigen Sie die Verspätung, ich wurde aufgehalten.","2022-03-20T14:43:10.142Z"
"der Absatz","paragraph","","2021-06-22T06:42:48.931Z"
"erweitern","expand","– Ja, wir haben die Wand\nein bisschen erweitert.","2022-03-02T12:20:21.088Z"
"ausgebildet","trained","Für diesen Beruf müssen Sie gut ausgebildet sein.","2022-03-20T14:44:32.413Z"
"als ob","as if","Er tut so, als ob wir nie darüber gesprochen hätten.","2022-03-20T14:37:33.576Z"
"scharf","sharp","","2022-03-20T14:26:00.307Z"
"alltägliche","everyday","1. Das alltägliche Leben ist manchmal langweilig.\n2. Der Roman erzählt eine ganz alltägliche Geschichte.","2022-03-20T14:37:23.493Z"
"Unerschwinglich","Unaffordable","","2022-03-19T08:43:40.210Z"
"gelingen, gelang, gelungen","to be successful","","2022-03-13T10:56:41.433Z"
"behältung","retention / keep","– Heißt das, du behältst das Baby?","2022-03-03T05:52:56.628Z"
"vorbeikommen","come round","","2022-03-18T16:43:50.372Z"
"die Beförderung","the promotion","","2022-03-20T14:53:02.307Z"
"stürmische","stormy","","2022-03-18T22:37:30.942Z"
"denken, dachte, gedacht","to think","","2022-03-13T10:54:45.475Z"
"einfluss","influence","","2022-03-21T06:59:46.958Z"
"belästigen","harass","","2022-04-13T22:44:08.980Z"
"(sich) ausruhen","to take a rest","ruht aus, ruhte aus, hat ausgeruht\n\n1. Sie ruhen sich von der Arbeit aus.\n2. Bist du gut ausgeruht?","2022-03-20T14:45:45.081Z"
"aussprechen","to pronounce","spricht aus, sprach aus, hat ausgesprochen\n\nWie spricht man dieses Wort aus?","2022-03-20T14:46:33.665Z"
"überströmt / Übertropfend","Overflowing / Overdripping","","2022-03-29T13:14:11.986Z"
"dauerhafte","permanent","","2022-04-14T06:47:27.075Z"
"froh","glad","","2022-04-13T22:43:22.173Z"
"auflösen","to dissolve","löst auf, löste auf, hat aufgelöst\n\nDie Tablette bitte in Wasser auflösen.","2022-03-20T14:43:25.119Z"
"Lutscherstiel","Lollipop stick","","2022-04-12T20:19:27.807Z"
"der Abschnitt","the section","-e\nLesen Sie bitte den zweiten Abschnitt.","2022-03-20T14:35:50.100Z"
"Setzling","Seedling","","2022-04-12T20:22:31.098Z"
"umgehen","bypass","","2022-03-20T10:46:06.722Z"
"das Kfz","the motor vehicle","-s","2022-03-20T14:28:37.688Z"
"Bisherige","previous","","2022-03-20T14:25:40.770Z"
"der Bericht","the report","","2021-02-01T22:11:49.618Z"
"betreffen / beeinflussen","affect","","2021-06-22T06:50:31.621Z"
"drauf","on it","","2022-03-20T09:46:10.550Z"
"regelrecht","downright / properly","","2022-03-18T22:35:08.868Z"
"wissen, wusste, gewusst","to know (a fact)","","2022-03-13T11:04:23.219Z"
"wollen, wollte, gewollt","to want","","2022-03-13T11:04:27.002Z"
"Morgenmantel","Dressing gown","","2022-03-18T16:39:28.687Z"
"trügen, trog, getrogen","to deceive","","2022-03-13T11:03:26.310Z"
"Ausbreitung / verbreitung","Spreading / spreading","","2021-07-01T22:38:14.367Z"
"werfen, warf, geworfen","to throw","","2022-03-13T11:04:11.980Z"
"tun, tat, getan","to do","","2022-03-13T11:03:27.908Z"
"treffen, traf, getroffen","to meet","","2022-03-13T11:03:14.389Z"
"tragen, trug, getragen","to carry; to wear","","2022-03-13T11:03:10.915Z"
"sterben, starb, gestorben","to die","","2022-03-13T11:02:54.834Z"
"treiben, trieb, getrieben","to compel, drive","","2022-03-13T11:03:18.197Z"
"öffentlich","public","","2021-06-22T06:51:48.881Z"
"verderben, verdarb, verdorben","to spoil","","2022-03-13T11:03:35.840Z"
"vergessen, vergaß, vergessen","to forget","","2022-03-13T11:03:40.991Z"
"schneiden, schnitt, geschnitten","to cut","","2022-03-13T11:01:12.445Z"
"schmelzen, schmolz, geschmolzen","to melt","","2022-03-13T11:01:08.429Z"
"bauen","to build","baut, baute, hat gebaut\n\nMein Nachbar hat ein Haus gebaut.","2022-03-20T14:48:09.840Z"
"ausziehen","to take off, to move out","zieht aus, zog aus, ausgezogen\n\n1. Willst du den Mantel nicht ausziehen?\n2. Müllers sind schon vor vier Wochen ausgezogen.","2022-03-20T14:47:03.096Z"
"ausmachen","to turn off, to agree on","macht aus, machte aus, hat ausgemacht\n\n1. Sie müssen leider warten. – Kein Problem. Das macht mir nichts aus.\n2. Machen Sie bitte das Licht aus!\n3. Wir hatten doch ausgemacht, dass du die Getränke besorgst.\n4. Haben Sie einen Termin ausgemacht?","2022-03-20T14:45:22.814Z"
"bestehen","consist / exist","","2021-06-22T08:04:14.383Z"
"Unterschrift / vorzeichen","Signature / sign","","2022-04-14T06:40:27.412Z"
"hinterlegen / Hinterlegung","deposit.","","2022-03-02T09:45:49.707Z"
"Beckenknochen","Pelvic bone","","2022-04-14T06:49:15.417Z"
"vorbeugen / verhutten / unterbinden / unterdrucken","prevent / prevent / prevent / suppress","","2022-04-14T06:39:37.384Z"
"Schreckensszenario","Horror scenario","","2022-04-13T12:56:41.381Z"
"der teich","pond","","2022-03-04T17:05:26.570Z"
"triefend","dripping","","2022-03-29T12:59:15.059Z"
"verstaubtes","dusty","","2022-03-29T13:11:38.839Z"
"verschwenden","waste","","2021-04-15T06:25:39.809Z"
"Blüten","blossoms","","2022-04-12T20:23:21.270Z"
"einzeln / individuell","single / individual","","2021-06-22T08:05:34.201Z"
"schaffen, schuf, geschaffen","to create; to accomplish","","2022-03-13T11:00:06.192Z"
"abwesend","absent","Herr Huber ist bis zum 25. April abwesend.","2022-03-20T14:36:36.103Z"
"der Absender, die Absenderin","the sender","-/-nen\nSchicken Sie das Paket an den Absender zurück.","2022-03-20T14:35:52.884Z"
"abhängen","depend","hängt ab, hing ab, hat abgehangen (von)\nVielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.","2022-03-20T14:35:11.168Z"
"grundriss","floor plan","","2022-03-20T12:47:29.026Z"
"das Schwimmbad","the swimmingpool","-s","2022-03-20T14:34:14.506Z"
"der/das Ketchup/Ketschup","the ketchup","-s","2022-03-20T14:31:22.661Z"
"raten, riet, geraten","to guess; to advise","","2022-03-13T10:59:30.894Z"
"checken","to check","checkt, checkte, hat gecheckt","2022-03-20T14:30:00.632Z"
"schleppend / langsam","sluggish / slow","","2022-03-20T14:26:13.138Z"
"verängstigt","scared","","2022-03-20T14:24:23.464Z"
"helfen, half, geholfen","to help","","2022-03-13T10:57:54.054Z"
"Überfall / Razzia","Raid","","2022-04-06T20:15:23.533Z"
"mögen, mochte, gemocht","to like","","2022-03-13T10:59:01.496Z"
"reißen, riss, gerissen","to rip","","2022-03-13T10:59:37.283Z"
"dürfen, durfte, gedurft","to be allowed (may)","","2022-03-13T10:55:01.928Z"
"erschrecken, erschrak, erschrocken","to frighten","","2022-03-13T10:55:14.417Z"
"knallharter","hardcore / badass","","2022-03-18T16:48:31.800Z"
"frieren, fror, gefroren","to freeze","","2022-03-13T10:56:00.541Z"
"aufsparen","save up","","2022-03-18T15:29:15.970Z"
"Deswegen","Because of that","Deswegen hab ich dann gesagt:","2022-03-04T15:05:17.258Z"
"fahren, fuhr, gefahren","to drive","","2022-03-13T10:55:29.426Z"
"inbegriffen","included","Das Frühstück ist nicht im Preis inbegriffen.","2022-03-02T10:55:06.096Z"
"die Ausbeutung","exploitation","werden in der Regel,\ndie Gefahr vor sexuelle Ausbeutung","2022-03-04T14:26:25.944Z"
"durchzuziehen","to pull through","durchzuziehen.","2022-03-04T15:06:20.523Z"
"anstreichen","painting","","2021-06-09T05:26:39.745Z"
"sich beeilen","to hurry up","beeilt sich, beeilte sich, hat sich beeilt\n\nWir mussen uns beeilen. Sonst verpassen wir den Zug.","2022-03-20T14:49:00.942Z"
"austragen","deliver","","2021-06-24T07:15:24.420Z"
"eingeweicht / durchnässten","soaked","","2021-04-29T07:57:15.820Z"
"der Wächter / vormund","Guardian / guardian","","2022-03-21T06:53:22.511Z"
"beliebt","popular","Dieses Spiel ist bei Jugendlichen sehr beliebt.","2022-03-20T14:50:57.605Z"
"der Beleg","the receipt","-e\n\nBrauchen Sie einen Beleg?","2022-03-20T14:50:42.181Z"
"sich befinden","to find oneself","befindet sich, befand sich, hat sich befunden\n\nDas Bord-Bistro befindet sich in der Mitte des Zuges.","2022-03-20T14:49:15.147Z"
"ausfluss","discharge","Der Ausfluss aus dem Wasserhahn war sehr stark.","2022-03-30T15:03:31.794Z"
"waffenruhe","ceasefire","","2022-04-02T09:04:50.412Z"
"begrenzt","limited","Die Teilnehmerzahl ist auf 12 begrenzt.","2022-03-20T14:49:36.811Z"
"die Aussprache","the pronunciation","Ali hat eine gute Aussprache.","2022-03-20T14:46:37.990Z"
"die Aufnahme","the recording / admission","-n\n\nBitte seid leise! – Ich starte die Aufnahme.","2022-03-20T14:43:40.009Z"
"geplättet","flattened","","2022-03-29T13:17:44.936Z"
"das Asyl","the asylum","Die Menschen sind auf der Flucht und bitten um Asyl.","2022-03-20T14:42:25.961Z"
"aufpassen","to watch out","passt auf, passte auf, hat aufgepasst\n\n1. Tut mir leid. Da habe ich wohl nicht aufgepasst.\n2. Ich muss zu Hause bleiben und auf die Kinder aufpassen.","2022-03-20T14:43:44.140Z"
"der Apparat / gerat","the appliance / device","-e\n\n1. Können Sie den Apparat bitte etwas leiser stellen?\n2. Wo ist mein Fotoapparat?","2022-03-20T14:41:33.161Z"
"aufwärts","upwards","1. Sie müssen gute Schuhe anziehen. Der Weg geht immer aufwärts.\n2. In letzter Zeit geht es wieder aufwärts mit der Wirtschaft.","2022-03-20T14:44:07.646Z"
"der Anschluss","the connection","¨-e\n\n1. In Mannheim haben Sie Anschluss nach Saarbrücken.\n2. Ich brauche in meiner Wohnung einen Telefonanschluss.","2022-03-20T14:40:01.473Z"
"anbieten","to offer","bietet an, bot an, hat angeboten\nDarf ich Ihnen etwas zu trinken anbieten?","2022-03-20T14:38:07.489Z"
"analysieren","to analyse","analysiert, analysierte, hat analysiert\nDie Politiker analysieren die Situation auf dem Arbeitsmarkt.","2022-03-20T14:38:04.558Z"
"das Abonnement","the subscription","-s/-e\nIch habe das Abonnement gekündigt.","2022-03-20T14:35:38.373Z"
"abwärts","downwards","Von dort führt der Weg abwärts ins Tal.","2022-03-20T14:36:14.102Z"
"die Tour","the tour","-en","2022-03-20T14:34:25.594Z"
"das T-Shirt","the T-Shirt","-s","2022-03-20T14:34:30.360Z"
"der Manager, die Managerin","the manager","-, -nen","2022-03-20T14:33:22.814Z"
"das Smartphone","the smartphone","-s","2022-03-20T14:33:55.658Z"
"der Terminal","the terminal","-s","2022-03-20T14:34:22.953Z"
"der Abfalleimer","the trash can","-\nWirf das bitte in den Abfalleimer!","2022-03-20T14:34:57.222Z"
"der Trend","the trend","-s","2022-03-20T14:34:28.207Z"
"surfen","to surf","surft, surfte, ist/hat gesurft","2022-03-20T14:34:07.369Z"
"das Mountainbike","the mountain bike","-s","2022-03-20T14:33:34.841Z"
"der Link","the link","-s","2022-03-20T14:31:33.653Z"
"usw.","etc.","","2022-03-20T14:28:57.118Z"
"joggen","to jog","joggt, joggte, hat gejoggt","2022-03-20T14:31:18.061Z"
"googeln","to google","googelt, googelte, hat gegoogelt","2022-03-20T14:30:45.364Z"
"der Hit","the hit","-s","2022-03-20T14:30:52.579Z"
"das Internet","the Internet","","2022-03-20T14:31:00.408Z"
"das Festival","the festival","-s","2022-03-20T14:30:30.371Z"
"global","global","","2022-03-20T14:30:43.455Z"
"das OG","upper storey","","2022-03-20T14:28:22.435Z"
"der Pkw","the private car","-s","2022-03-20T14:28:50.298Z"
"der Babysitter, die Babysitterin","the babysitter","-, -nen","2022-03-20T14:29:22.579Z"
"die WG","the shared apartment","-s","2022-03-20T14:29:14.935Z"
"das UG","the basement","","2022-03-20T14:28:25.278Z"
"ca.","approximately","","2022-03-20T14:28:03.098Z"
"Anfall / Epilepsie","Seizure / Epilepsy","","2022-03-20T14:14:29.952Z"
"durstig","thirsty","","2022-03-20T14:24:47.160Z"
"das Abo","the subscription","-s","2022-03-20T14:27:31.558Z"
